hjd,camera,mag,mag_err,flux,flux_err
2457299.016,bb,11.118,0.02,136.952,2.52
2457236.12552,ba,11.128,0.02,144.905,2.666
2458311.0101,ba,11.14,0.02,143.323,2.637
2457583.01638,bb,11.113,0.02,137.681,2.533
2457271.0804,bb,11.102,0.02,138.974,2.557
2457309.90003,bb,11.109,0.02,138.077,2.541
2457238.0819,bb,11.087,0.02,140.979,2.594
2457179.08443,ba,11.125,0.02,145.338,2.674
2457618.91808,bb,11.107,0.02,138.339,2.545
2457909.11679,bb,11.1,0.02,139.331,2.564
2457329.95952,bb,11.11,0.02,138.02,2.54
2457587.08806,bb,11.11,0.02,138.053,2.54
2458072.7388,bb,11.285,0.02,117.478,2.162
2458029.9557,bb,11.12,0.02,136.733,2.516
2457589.98916,bb,11.12,0.02,136.779,2.517
2457672.75979,bb,11.106,0.02,138.554,2.549
2456470.01042,bb,11.109,0.02,138.174,2.542
2457668.98698,bb,11.107,0.02,138.39,2.546
2458423.76964,ba,11.112,0.02,147.004,2.705
2456910.96622,bb,11.091,0.02,140.504,2.585
2456892.98336,ba,11.101,0.02,148.603,2.734
2457392.76822,bb,11.123,0.02,136.347,2.509
2457233.10753,bb,11.148,0.02,133.29,2.453
2457657.91022,bb,11.102,0.02,138.99,2.557
2457396.70869,bb,11.124,0.02,136.273,2.507
2458362.08218,ba,11.13,0.02,144.615,2.661
2457244.0625,ba,11.131,0.02,144.521,2.659
2457689.97289,bb,11.129,0.02,135.565,2.494
2456857.03544,ba,11.094,0.02,149.499,2.751
2457363.8603,bb,11.121,0.02,136.643,2.514
2456509.00667,ba,11.12,0.02,146.017,2.687
2457544.11199,bb,11.119,0.02,136.838,2.518
2457177.07296,ba,11.11,0.02,147.286,2.71
2456533.98325,bb,11.274,0.02,118.698,2.184
2457980.98858,ba,11.122,0.02,145.763,2.682
2458343.05699,bb,11.109,0.02,138.077,2.541
2456490.03462,bb,11.092,0.02,140.379,2.583
2457932.05347,bb,11.129,0.02,135.676,2.496
2457982.07129,bb,11.108,0.02,138.324,2.545
2458074.91841,bb,11.122,0.02,136.534,2.512
2457305.02025,bb,11.137,0.02,134.575,2.476
2457320.87963,bb,11.124,0.02,136.279,2.508
2456835.06065,bb,11.096,0.02,139.776,2.572
2456897.92449,bb,11.122,0.02,136.527,2.512
2458133.71861,bb,11.109,0.02,138.19,2.543
2457211.06398,bb,11.115,0.02,137.341,2.527
2456555.90154,ba,11.103,0.02,148.351,2.73
2458283.07845,ba,11.114,0.02,146.747,2.7
2456635.82946,bb,11.103,0.02,138.906,2.556
2458111.77689,ba,11.123,0.02,145.596,2.679
2457205.04876,bb,11.102,0.02,139.059,2.559
2456533.12334,bb,11.105,0.02,138.627,2.551
2458013.06451,bb,11.364,0.02,109.24,2.01
2456509.02226,bb,11.113,0.02,137.667,2.533
2457364.8599,bb,11.151,0.02,132.916,2.446
2456855.04273,bb,11.121,0.02,136.623,2.514
2456928.93433,bb,11.109,0.02,138.199,2.543
2457323.86228,bb,11.123,0.02,136.373,2.509
2457209.04185,bb,11.1,0.02,139.297,2.563
2456900.97201,bb,11.11,0.02,138.003,2.539
2456943.97907,ba,11.454,0.02,107.328,1.975
2457959.01468,bb,11.286,0.02,117.4,2.16
2457297.98637,ba,11.428,0.02,109.953,2.023
2458013.95406,ba,11.104,0.02,148.087,2.725
2458075.91442,bb,11.114,0.02,137.518,2.53
2457384.73454,ba,11.147,0.02,142.446,2.621
2457353.88734,bb,11.271,0.02,119.009,2.19
2457380.78355,bb,11.125,0.02,136.065,2.504
2456677.72056,ba,11.086,0.02,150.688,2.773
2458008.02507,ba,11.105,0.02,147.976,2.723
2456882.99526,ba,11.111,0.02,147.181,2.708
2457584.03918,bb,11.107,0.02,138.45,2.547
2457397.73568,bb,11.118,0.02,136.95,2.52
2457036.74175,bb,11.118,0.02,137.012,2.521
2458395.98837,ba,11.493,0.02,103.559,1.905
2457545.09476,bb,11.119,0.02,136.905,2.519
2457231.97834,bb,11.11,0.02,138.017,2.54
2457996.91875,bb,11.26,0.02,120.177,2.211
2457670.7719,bb,11.11,0.02,138.024,2.54
2456940.8658,bb,11.101,0.02,139.156,2.56
2458297.06424,bb,11.129,0.02,135.655,2.496
2456514.09957,bb,11.464,0.02,99.652,1.834
2456463.057,ba,11.115,0.02,146.687,2.699
2457183.11104,bb,11.11,0.02,138.016,2.539
2456534.885,bb,11.104,0.02,138.716,2.552
2457998.86659,bb,11.12,0.02,136.763,2.516
2457412.70825,bb,11.113,0.02,137.628,2.532
2456795.10261,ba,11.104,0.02,148.168,2.726
2458048.79437,bb,11.111,0.02,137.855,2.537
2457228.99708,bb,11.117,0.02,137.142,2.523
2457698.69454,bb,11.13,0.02,135.53,2.494
2457654.05692,bb,11.128,0.02,135.705,2.497
2457332.93588,bb,11.106,0.02,138.479,2.548
2457384.79991,bb,11.129,0.02,135.625,2.496
2458067.75909,bb,11.111,0.02,137.865,2.537
2457319.74915,bb,11.134,0.02,134.943,2.483
2456888.11204,ba,11.104,0.02,148.222,2.727
2457688.97717,bb,11.109,0.02,138.149,2.542
2457616.94386,bb,11.112,0.02,137.694,2.534
2457706.83826,bb,11.125,0.02,136.109,2.504
2456817.0689,ba,11.103,0.02,148.224,2.727
2456531.86048,bb,11.13,0.02,135.501,2.493
2456464.05951,bb,11.089,0.02,140.657,2.588
2457001.79675,ba,11.39,0.02,113.89,2.096
2457241.01573,bb,11.128,0.02,135.743,2.498
2457275.09163,bb,11.11,0.02,138.037,2.54
2458390.8527,ba,11.113,0.02,146.913,2.703
2456915.0654,ba,11.468,0.02,105.909,1.949
2457669.76867,bb,11.102,0.02,139.057,2.559
2458406.88441,ba,11.422,0.02,110.547,2.034
2457673.72409,ba,11.117,0.02,146.416,2.694
2456886.03173,bb,11.108,0.02,138.237,2.544
2457246.031,bb,11.118,0.02,137.004,2.521
2457946.04378,ba,11.123,0.02,145.522,2.678
2456824.05285,ba,11.082,0.02,151.154,2.781
2456462.0526,bb,11.127,0.02,135.851,2.5
2456899.96696,bb,11.104,0.02,138.781,2.554
2458257.11423,ba,11.11,0.02,147.27,2.71
2456521.98709,bb,11.099,0.02,139.467,2.566
2457579.02425,bb,11.117,0.02,137.103,2.523
2457174.09556,ba,11.117,0.02,146.347,2.693
2457694.84089,ba,11.117,0.02,146.334,2.693
2456465.06472,bb,11.125,0.02,136.099,2.504
2457650.98248,bb,11.102,0.02,139.007,2.558
2457222.06724,bb,11.496,0.02,96.719,1.78
2456877.00253,ba,11.099,0.02,148.793,2.738
2457307.84421,ba,11.108,0.02,147.588,2.716
2456891.99344,bb,11.108,0.02,138.21,2.543
2456884.92973,bb,11.097,0.02,139.647,2.57
2457602.97841,ba,11.123,0.02,145.535,2.678
2456876.0265,bb,11.133,0.02,135.151,2.487
2457702.80474,bb,11.123,0.02,136.356,2.509
2457213.08326,bb,11.269,0.02,119.175,2.193
2458063.74465,bb,11.396,0.02,106.026,1.951
2458448.85899,ba,11.122,0.02,145.704,2.681
2457995.8514,ba,11.094,0.02,149.5,2.751
2456833.05462,ba,11.106,0.02,147.882,2.721
2458121.79183,bb,11.138,0.02,134.511,2.475
2456920.95119,bb,11.099,0.02,139.406,2.565
2456902.96093,ba,11.097,0.02,149.154,2.744
2457255.98022,bb,11.111,0.02,137.905,2.537
2457324.89195,bb,11.118,0.02,137.03,2.521
2458295.06265,bb,11.119,0.02,136.848,2.518
2457581.03608,ba,11.111,0.02,147.204,2.709
2457176.07606,ba,11.094,0.02,149.514,2.751
2458135.70784,bb,11.115,0.02,137.376,2.528
2457296.99073,bb,11.109,0.02,138.143,2.542
2457221.9689,ba,11.163,0.02,140.357,2.583
2457360.87123,bb,11.116,0.02,137.267,2.526
2458033.93783,ba,11.11,0.02,147.368,2.712
2458128.76311,bb,11.395,0.02,106.181,1.954
2457619.95953,ba,11.12,0.02,145.951,2.686
2457576.99823,ba,11.103,0.02,148.275,2.728
2457661.05243,bb,11.144,0.02,133.771,2.461
2457676.85672,ba,11.116,0.02,146.545,2.696
2456919.94036,ba,11.118,0.02,146.205,2.69
2457356.87988,bb,11.123,0.02,136.395,2.51
2457370.74684,bb,11.145,0.02,133.585,2.458
2456924.94267,bb,11.102,0.02,138.994,2.557
2456918.08653,bb,11.104,0.02,138.722,2.552
2458377.05549,ba,11.115,0.02,146.72,2.7
2457600.06241,bb,11.11,0.02,137.982,2.539
2457045.73627,bb,11.107,0.02,138.425,2.547
2457961.0559,bb,11.131,0.02,135.401,2.491
2456516.88932,bb,11.114,0.02,137.546,2.531
2457978.97805,ba,11.129,0.02,144.841,2.665
2456535.92377,bb,11.111,0.02,137.849,2.536
2456445.1033,bb,11.117,0.02,137.187,2.524
2456873.94796,bb,11.095,0.02,139.899,2.574
2458385.84844,bb,11.139,0.02,134.364,2.472
2458442.79639,ba,11.122,0.02,145.707,2.681
2457328.95987,bb,11.109,0.02,138.076,2.541
2457564.06077,bb,11.103,0.02,138.845,2.555
2456539.94855,bb,11.096,0.02,139.861,2.573
2458070.74695,bb,11.129,0.02,135.594,2.495
2458018.08162,bb,11.112,0.02,137.752,2.535
2457362.83322,ba,11.139,0.02,143.398,2.639
2457327.96398,bb,11.128,0.02,135.683,2.497
2457321.84375,bb,11.107,0.02,138.414,2.547
2457193.08331,bb,11.167,0.02,130.974,2.41
2456479.98734,bb,11.113,0.02,137.675,2.533
2457998.83457,ba,11.123,0.02,145.65,2.68
2457627.11574,bb,11.12,0.02,136.798,2.517
2457001.81186,bb,11.307,0.02,115.084,2.118
2457974.99105,bb,11.117,0.02,137.09,2.522
2457701.72073,bb,11.123,0.02,136.322,2.508
2457709.88436,bb,11.118,0.02,136.954,2.52
2456919.95285,bb,11.114,0.02,137.519,2.53
2456874.00369,ba,11.083,0.02,151.029,2.779
2457686.87531,bb,11.119,0.02,136.928,2.519
2457212.02053,ba,11.117,0.02,146.408,2.694
2456870.03444,bb,11.105,0.02,138.597,2.55
2457308.87622,bb,11.192,0.02,127.985,2.355
2456827.06511,ba,11.082,0.02,151.123,2.781
2458036.9177,ba,11.123,0.02,145.647,2.68
2456986.82912,bb,11.103,0.02,138.88,2.555
2458016.08154,bb,11.131,0.02,135.344,2.49
2457541.09227,ba,11.115,0.02,146.635,2.698
2457233.94408,ba,11.12,0.02,146.036,2.687
2456906.86174,bb,11.103,0.02,138.918,2.556
2458428.8557,ba,11.106,0.02,147.827,2.72
2458299.09728,bb,11.12,0.02,136.701,2.515
2457328.84847,ba,11.101,0.02,148.545,2.733
2456890.04412,ba,11.1,0.02,148.738,2.737
2456932.90041,ba,11.101,0.02,148.587,2.734
2457764.74395,bb,11.116,0.02,137.224,2.525
2457765.7133,ba,11.271,0.02,127.041,2.338
2457358.87985,bb,11.124,0.02,136.295,2.508
2457288.81283,bb,11.159,0.02,131.873,2.426
2456970.85527,bb,11.117,0.02,137.106,2.523
2456475.05724,bb,11.101,0.02,139.163,2.561
2458339.01054,ba,11.1,0.02,148.699,2.736
2457700.694,bb,11.272,0.02,118.827,2.186
2457272.02948,bb,11.126,0.02,136.019,2.503
2458120.76101,ba,11.122,0.02,145.77,2.682
2457288.82428,ba,11.168,0.02,139.706,2.571
2457290.8925,ba,11.128,0.02,144.894,2.666
2456463.05085,bb,11.115,0.02,137.395,2.528
2457737.83934,bb,11.115,0.02,137.324,2.527
2456851.01425,bb,11.128,0.02,135.691,2.497
2457702.78528,ba,11.128,0.02,144.854,2.665
2457550.09302,ba,11.112,0.02,147.081,2.706
2456918.94971,bb,11.096,0.02,139.839,2.573
2457044.73038,bb,11.112,0.02,137.773,2.535
2457703.83164,bb,11.105,0.02,138.671,2.552
2457004.80491,bb,11.102,0.02,138.997,2.558
2457216.04215,ba,11.102,0.02,148.484,2.732
2456918.06347,ba,11.109,0.02,147.538,2.715
2457039.71364,ba,11.263,0.02,128.021,2.356
2457914.08846,bb,11.124,0.02,136.263,2.507
2456471.02289,bb,11.106,0.02,138.506,2.549
2457992.08054,bb,11.117,0.02,137.131,2.523
2457278.00645,bb,11.225,0.02,124.18,2.285
2458435.83971,ba,11.171,0.02,139.241,2.562
2457247.06679,ba,11.117,0.02,146.456,2.695
2456907.9308,ba,11.179,0.02,138.267,2.544
2457536.10559,ba,11.134,0.02,144.086,2.651
2457204.01673,ba,11.496,0.02,103.296,1.901
2457766.74861,bb,11.106,0.02,138.545,2.549
2457981.08324,bb,11.115,0.02,137.434,2.529
2456482.08127,bb,11.107,0.02,138.331,2.545
2458408.879,ba,11.117,0.02,146.414,2.694
2457207.04764,bb,11.126,0.02,136.007,2.503
2458361.02811,bb,11.119,0.02,136.858,2.518
2458138.72431,bb,11.114,0.02,137.48,2.53
2457361.87125,bb,11.115,0.02,137.418,2.528
2457399.72119,bb,11.113,0.02,137.64,2.533
2457232.11962,ba,11.118,0.02,146.321,2.692
2458096.79187,ba,11.106,0.02,147.878,2.721
2457575.1164,bb,11.11,0.02,137.991,2.539
2458062.70254,bb,11.124,0.02,136.286,2.508
2458000.87085,bb,11.12,0.02,136.771,2.517
2457314.74815,bb,11.107,0.02,138.416,2.547
2456899.9554,ba,11.103,0.02,148.262,2.728
2456461.01183,ba,11.088,0.02,150.356,2.767
2457408.72419,bb,11.116,0.02,137.241,2.525
2456922.951,bb,11.099,0.02,139.423,2.565
2457209.07912,ba,11.09,0.02,150.109,2.762
2458325.95234,ba,11.14,0.02,143.298,2.637
2457023.75875,ba,11.092,0.02,149.825,2.757
2456933.91124,ba,11.098,0.02,148.938,2.74
2458022.01758,ba,11.113,0.02,146.896,2.703
2457710.89965,bb,11.109,0.02,138.183,2.543
2458037.95481,ba,11.126,0.02,145.158,2.671
2456523.98511,bb,11.109,0.02,138.199,2.543
2456849.0239,bb,11.09,0.02,140.639,2.588
2458408.74934,bb,11.137,0.02,134.649,2.478
2457970.92139,ba,11.112,0.02,147.12,2.707
2458026.75846,ba,11.109,0.02,147.483,2.714
2457368.70081,bb,11.12,0.02,136.754,2.516
2457172.11574,bb,11.131,0.02,135.411,2.492
2457303.03292,bb,11.113,0.02,137.637,2.533
2457388.75515,ba,11.123,0.02,145.632,2.68
2457657.02044,bb,11.125,0.02,136.17,2.506
2457265.92701,ba,11.113,0.02,146.873,2.702
2456543.83765,bb,11.094,0.02,140.107,2.578
2457927.06814,bb,11.11,0.02,138.014,2.539
2457365.70772,bb,11.11,0.02,137.995,2.539
2457031.72797,ba,11.113,0.02,146.875,2.702
2457194.06917,ba,11.097,0.02,149.073,2.743
2456906.86484,ba,11.095,0.02,149.346,2.748
2458097.85491,bb,11.121,0.02,136.575,2.513
2457589.97045,ba,11.117,0.02,146.42,2.694
2458258.11086,ba,11.114,0.02,146.761,2.7
2456831.05699,ba,11.095,0.02,149.35,2.748
2456894.96962,ba,11.11,0.02,147.298,2.71
2457263.95787,bb,11.106,0.02,138.488,2.548
2456910.94851,ba,11.112,0.02,147.004,2.705
2456896.96909,ba,11.473,0.02,105.438,1.94
2457680.9204,bb,11.161,0.02,131.722,2.424
2456866.03309,bb,11.109,0.02,138.197,2.543
2456895.98841,bb,11.077,0.02,142.319,2.619
2457705.85046,ba,11.121,0.02,145.881,2.684
2457377.79019,ba,11.129,0.02,144.794,2.664
2457558.04509,ba,11.435,0.02,109.174,2.009
2457671.76363,bb,11.263,0.02,119.842,2.205
2457020.76773,bb,11.096,0.02,139.773,2.572
2457915.09248,bb,11.138,0.02,134.554,2.476
2457310.84865,bb,11.1,0.02,139.268,2.563
2456969.8516,bb,11.094,0.02,140.083,2.578
2457927.0531,ba,11.079,0.02,151.545,2.788
2457526.11796,ba,11.15,0.02,141.982,2.612
2457758.71854,ba,11.123,0.02,145.584,2.679
2457397.71994,ba,11.113,0.02,146.867,2.702
2456493.02336,bb,11.097,0.02,139.712,2.571
2458038.01889,bb,11.119,0.02,136.893,2.519
2457982.98751,ba,11.117,0.02,146.328,2.692
2456829.10714,ba,11.122,0.02,145.701,2.681
