hjd,camera,mag,mag_err,flux,flux_err
2458117.73797,bb,11.129,0.02,135.678,2.496
2458308.08893,ba,11.132,0.02,144.385,2.657
2457306.02338,bb,11.121,0.02,136.627,2.514
2457271.01396,ba,11.118,0.02,146.256,2.691
2457984.074,bb,11.13,0.02,135.541,2.494
2458436.75875,bb,11.124,0.02,136.215,2.506
2457939.03173,bb,11.28,0.02,118.013,2.171
2456988.81304,ba,11.12,0.02,145.989,2.686
2457034.72097,ba,11.105,0.02,148.004,2.723
2456993.81209,bb,11.101,0.02,139.126,2.56
2457973.02233,ba,11.105,0.02,148.04,2.724
2458363.00493,ba,11.141,0.02,143.138,2.634
2457398.73597,bb,11.118,0.02,136.956,2.52
2457966.967,bb,11.11,0.02,138.031,2.54
2456916.93754,ba,11.198,0.02,135.86,2.5
